uv_index,oms_risk,pressure,sensor,altitude,temperature
0.4645247757,Low,0,ultraviolet,0,0
0,None,98344,pressure_temperature,251.125,27.8125
0,None,0,humidity,0,0
0.4605087042,Low,0,ultraviolet,0,0
0.4404283762,Low,0,ultraviolet,0,0
0,None,98351.25,pressure_temperature,251.0625,28
0,None,0,humidity,0,0
0.4511378706,Low,0,ultraviolet,0,0
0.4618473947,Low,0,ultraviolet,0,0
0.469879508,Low,0,ultraviolet,0,0
0,None,98333,pressure_temperature,251.875,28.1875
0.4779116511,Low,0,ultraviolet,0,0
0.4966532886,Low,0,ultraviolet,0,0
0,None,98333,pressure_temperature,251.875,28.375
0,None,0,humidity,0,0
0.4765729606,Low,0,ultraviolet,0,0
0.5274431109,Low,0,ultraviolet,0,0
0.4203480482,Low,0,ultraviolet,0,0
0,None,98332.5,pressure_temperature,252.125,28.5625
0,None,0,humidity,0,0
0.5087014437,Low,0,ultraviolet,0,0
0.507362783,Low,0,ultraviolet,0,0
0,None,98333.75,pressure_temperature,252.125,28.75
0,None,0,humidity,0,0
0.5033467412,Low,0,ultraviolet,0,0
0.4056224823,Low,0,ultraviolet,0,0
0.44979918,Low,0,ultraviolet,0,0
0,None,98332.25,pressure_temperature,252.5,29
